"","decade","ppn cm/d","eref cm/d","uns1.Qroot","uns1.Qsto","uns1.Rch","uns1.State","uns2.Qroot","uns2.Qsto","uns2.Rch","uns2.State","uns3.Qroot","uns3.Qsto","uns3.Rch","uns3.state","Qsat.inf/seepg","Qsat.drainage","Qsat.recharge","Qsat.storage","Qsat.BC"
"212",212,0.159,0.092,-0.0772555821072068,-0.0379576242380631,-0.0477020590139144,25.4957636790332,-0.0923760806441528,-0.134529357232787,0.0667326957577306,27.7152945222397,-0.0794825175420363,0.0175603584054957,-0.0978394878446972,30.9383295382771,0.789190813297067,-0.0104138133163862,1.79109612403156,-0.165253187948135,-1.61421863967905
"213",213,0.027,0.094,-0.079030687988633,0.039040645755172,0.0107898411241285,25.5515858571683,-0.09438425631033,0.0067409087529688,0.0578796374058583,27.7606884800534,-0.0812103983581675,0.145779537153029,-0.0926756179048104,30.9218846986326,0.774239761111914,-0.0232808025787064,1.21809450970565,0.441333269104353,-1.6350133003866
"214",214,0.116,0.078,-0.065478089987812,-0.00889406140355803,-0.0435323017201374,25.5363266876375,-0.0783188509809121,-0.0873703152430925,0.0476439677910561,27.7946039521935,-0.0673873518291177,0.0385375980240116,-0.0879437128579775,30.9059881640821,0.763085005817733,-0.0430466911673771,1.73958554651643,-0.0483423707276835,-1.64883578252404
"215",215,0.349,0.058,-0.0484904969966439,-0.0884721495327618,-0.210902418185631,25.6205462909195,-0.0579455161909311,-0.333236346952738,0.0386933433989552,27.8354829469291,-0.0501085436678055,-0.215798841672454,-0.0835924523932974,30.8909761167086,0.746479601997009,-0.169762149471877,3.33005642148492,-1.21412150802119,-1.94478800407363
"216",216,0.12,0.029,-0.0241368487818014,0.0553510914641419,-0.156008351882013,25.9130165665497,-0.0291185471595699,-0.108323879200554,0.0155996495740739,27.9333586873306,-0.0250542718339027,-0.0163298748017192,-0.0793732412167799,30.8770669525676,0.716518012836975,-0.606848652898745,2.95304198936662,-0.0303222352661916,-2.31496707300574
"217",217,0.051,0.017,-0.0141991348893343,0.0179729998103276,-0.0594230798221147,25.8806253940836,-0.0170694931625065,-0.00291783031478155,-0.0331358198272694,28.0267867604311,-0.0146869869371154,0.0378983740223342,-0.0754452952615204,30.8653675630205,0.697352184947522,-0.62168544655536,2.44238668069887,0.29725543255844,-2.11820501351692
"218",218,0.144,0.021,-0.0175866866729431,-0.0933706341299515,-0.0322619604004247,25.7985820472469,-0.0210391571410824,-0.0755164537073645,-0.053743974712772,28.0999480324533,-0.0181427485693779,-0.054602452695814,-0.0717805679032739,30.8570154860809,0.700218296063396,-0.56125659636372,2.31535720852082,0.184192195222493,-1.93839492254803
"219",219,0.36,0.022,-0.0181398285840889,0.0377520489541286,-0.382799061404387,26.0217038531572,-0.0213518632037913,-0.258489046373594,-0.0785889280881156,28.2080167798092,-0.0190066889774435,-0.273111085001184,-0.068417252549947,30.8518252943065,0.661350465679746,-1.31933060934756,5.82527110021635,-1.81240204635608,-2.68639923666132
"220",220,0.591,0.022,-0.0179580173751375,-0.02958243856053,-0.547272367122066,26.4433648504179,-0.0119457475379921,-0.151010742614489,-0.402971979760268,28.7677640721856,-0.0190066889774435,-0.507910935193144,-0.0650933092600929,30.8537206719073,0.68814188979931,-3.27192487584699,10.5644107634593,-3.79131884298642,-3.48396779634525
"221",221,0.569,0.03,-0.0244179786378396,0.0215367198883027,-0.568586344789759,26.6684930604178,-0.0148656376260277,0.000784193652784011,-0.547518711901196,29.4108818076945,-0.0259182122419684,-0.482458436254428,-0.0616464246794067,30.8753726576295,0.798370351000393,-4.62268716007089,12.1420961454552,-3.76672167619607,-3.74253129909267
"222",222,0.006,0.022,-0.0182633397126721,0.0629406143586348,-0.0560361687582722,26.5266555442963,-0.0220807884914289,0.291677002006547,-0.285732993278079,29.4731247849234,-0.0190066889774435,0.0697411651973534,-0.0585204012486162,30.9179916479331,0.83038096808869,-3.78593065914224,4.58992318365706,2.10781042303448,-2.92209315400352
