"","time","ppn cm/d","eref cm/d","uns1.Qroot","uns1.Qsto","uns1.Rch","uns1.State","uns2.Qroot","uns2.Qsto","uns2.Rch","uns2.State","uns3.Qroot","uns3.Qsto","uns3.Rch","uns3.state","Qsat.inf/seepg","Qsat.drainage","Qsat.recharge","Qsat.storage","Qsat.BC"
"70",70,0,0.15,-0.124396748896978,0.204504159044298,-0.0939907105328093,26.3857241440167,-0.150613174963293,0.429414017683447,-0.291389925206424,29.4319598177072,-0.129591061209842,0.207984824992463,-0.0800470447746955,32.0652238090621,0.905319765693442,-3.27786234726014,5.44832713950012,0.687772509769264,-2.86043969860122
"71",71,0,0.13,-0.108151247784674,0.125830467760999,-0.0187235542552619,26.3572679542036,-0.13053141830152,0.395651361629731,-0.282316587243489,29.4402510064485,-0.11231225304853,0.191321318471861,-0.0800200588867796,32.0659005720883,0.915324439988677,-3.16130938530946,4.64192886173143,1.24382144677841,-2.72854075669693
"72",72,0,0.16,-0.13344005549821,0.0935085316618164,0.0348267563812207,26.3210811987354,-0.160654053294179,0.413948985131152,-0.266792616639973,29.4420602539967,-0.138230465290498,0.21738101559262,-0.079995985386474,32.0666397280173,0.925204396783884,-3.02725448872525,3.97739200396095,1.64959278430074,-2.60512300371174
"73",73,0,0.16,-0.13368824909595,0.0667345837125618,0.0728223053757457,26.2808413483541,-0.160654053294179,0.389505883292764,-0.250529302805797,29.4376128272695,-0.138230465290498,0.217699361497537,-0.0799757047689388,32.0674241817509,0.934646057925329,-2.89263947499314,3.45331823145058,1.92493013566057,-2.49197910374147
"74",74,0,0.18,-0.150595495353647,0.0571912158417076,0.103800872753553,26.2389824174088,-0.180735809955951,0.395572006512003,-0.23170145274671,29.4285735970997,-0.15550927345181,0.234872450925935,-0.0799586491902873,32.0682421179273,0.943540678003186,-2.75736210138263,2.97032465212416,2.16601200448115,-2.38576526248985
"75",75,0,0.2,-0.167526183163895,0.0507919523574799,0.13006078580052,26.1965269985025,-0.200817566617723,0.400378241860102,-0.212247215664619,29.4153860514439,-0.172788081613122,0.252252155197764,-0.079945153727882,32.0690792701971,0.951855957437811,-2.61907266711528,2.52596894838577,2.37137593087627,-2.28549864798907
"76",76,0.34,0.12,-0.100306151880643,-0.29051197637266,0.045760107161065,26.1541075458975,-0.120490539970634,-0.032326005929006,-0.189795015876074,29.398834241075,-0.103672848967873,-0.156712071634342,-0.0799350401695766,32.0699231257814,0.956329478681676,-2.5179993340512,3.10209505110963,1.68920545968869,-2.27909683573112
"77",77,0.7,0.07,-0.0580996717243316,-0.485354469099869,-0.146766773259509,26.1250909069787,-0.0702861483162032,-0.45234959915402,-0.172250562334076,29.3795891186861,-0.0604758285645928,-0.560907158024956,-0.0799281960186465,32.0707617583641,0.953796726714461,-2.50404093879972,4.75559976168202,0.153929215494543,-2.40712290112028
"78",78,0.43,0.03,-0.0247839313820477,-0.117902908792113,-0.271915107921511,26.1254665934518,-0.0301226349926585,-0.234243252087779,-0.158473402620697,29.361333821107,-0.0259182122419684,-0.324264328136138,-0.0799227757092584,32.071594211795,0.947690336197142,-2.54701150612319,5.80667486574268,-0.710914812716434,-2.54740349439709
"79",79,1.33,0.04,-0.0326026467228014,-0.69318760997646,-0.591765542363913,26.1450960977119,-0.0194209222848505,-1.15237587608075,-0.149174764808632,29.3459106064906,-0.0345576163226245,-1.21614165738087,-0.0799187658483296,32.0724166830019,0.928699481888146,-2.76446664842534,8.75237618781922,-3.05883040957492,-2.91800895037343
